,movie,rating,quote,polarity,subjectivity
0,The Matrix,8.7,"[""Agent Smith: I'd like to share a revelation that I've had during my time here. It came to me when I tried to classify your species and I realized that you're not actually mammals. Every mammal on this planet instinctively develops a natural equilibrium with the surrounding environment but you humans do not. You move to an area and you multiply and multiply until every natural resource is consumed and the only way you can survive is to spread to another area. There is another organism on this planet that follows the same pattern. Do you know what it is? A virus. Human beings are a disease, a cancer of this planet. You're a plague and we are the cure.""]",0.025,0.265625
2,The Matrix,8.7,"[""Spoon boy: Do not try and bend the spoon. That's impossible. Instead... only try to realize the truth."", 'Neo: What truth?', 'Spoon boy: There is no spoon.', 'Neo: There is no spoon?', ""Spoon boy: Then you'll see, that it is not the spoon that bends, it is only yourself.""]",-0.2222222222222222,1.0
3,The Matrix,8.7,"['Neo: What are you trying to tell me? That I can dodge bullets?', ""Morpheus: No, Neo. I'm trying to tell you that when you're ready, you won't have to.""]",0.2,0.5
5,The Matrix,8.7,"[""[last lines]  Neo: I know you're out there. I can feel you now. I know that you're afraid... you're afraid of us. You're afraid of change. I don't know the future. I didn't come here to tell you how this is going to end. I came here to tell you how it's going to begin. I'm going to hang up this phone, and then I'm going to show these people what you don't want them to see. I'm going to show them a world without you. A world without rules and controls, without borders or boundaries. A world where anything is possible. Where we go from there is a choice I leave to you.""]",-0.3,0.6486111111111111
6,The Matrix,8.7,"[""Morpheus: What is real? How do you define 'real'? If you're talking about what you can feel, what you can smell, what you can taste and see, then 'real' is simply electrical signals interpreted by your brain.""]",0.13333333333333333,0.37857142857142856
7,The Matrix,8.7,"['Morpheus: You have to let it all go, Neo. Fear, doubt, and disbelief. Free your mind.']",0.4,0.8
8,The Matrix,8.7,"[""Morpheus: I imagine that right now, you're feeling a bit like Alice. Hmm? Tumbling down the rabbit hole?"", 'Neo: You could say that.', ""Morpheus: I see it in your eyes. You have the look of a man who accepts what he sees because he is expecting to wake up. Ironically, that's not far from the truth. Do you believe in fate, Neo?"", 'Neo: No.', 'Morpheus: Why not?', ""Neo: Because I don't like the idea that I'm not in control of my life."", ""Morpheus: I know *exactly* what you mean. Let me tell you why you're here. You're here because you know something. What you know you can't explain, but you feel it. You've felt it your entire life, that there's something wrong with the world. You don't know what it is, but it's there, like a splinter in your mind, driving you mad. It is this feeling that has brought you to me. Do you know what I'm talking about?"", 'Neo: _The Matrix_ (qv).', 'Morpheus: Do you want to know what it is?', 'Neo: Yes.', 'Morpheus: _The Matrix_ (qv) is everywhere. It is all around us. Even now, in this very room. You can see it when you look out your window or when you turn on your television. You can feel it when you go to work... when you go to church... when you pay your taxes. It is the world that has been pulled over your eyes to blind you from the truth.', 'Neo: What truth?', 'Morpheus: That you are a slave, Neo. Like everyone else you were born into bondage. Into a prison that you cannot taste or see or touch. A prison for your mind.']",-0.140734126984127,0.6253769841269842
9,The Matrix,8.7,"['Morpheus: Have you ever had a dream, Neo, that you were so sure was real? What if you were unable to wake from that dream? How would you know the difference between the dream world and the real world?']",0.09999999999999999,0.49722222222222223
10,The Matrix,8.7,"[""Oracle: You're cuter than I thought. I can see why she likes you."", 'Neo: Who?', 'Oracle: Not too bright, though.']",0.7000000000000001,0.7999999999999999
11,The Matrix,8.7,"[""Agent Smith: Did you know that the first Matrix was designed to be a perfect human world? Where none suffered, where everyone would be happy. It was a disaster. No one would accept the program. Entire crops were lost. Some believed we lacked the programming language to describe your perfect world. But I believe that, as a species, human beings define their reality through suffering and misery. The perfect world was a dream that your primitive cerebrum kept trying to wake up from. Which is why the Matrix was redesigned to this: the peak of your civilization. I say your civilization, because as soon as we started thinking for you it really became our civilization, which is of course what this is all about. Evolution, Morpheus, evolution. Like the dinosaur. Look out that window. You've had your time. The future is *our* world, Morpheus. The future is our time.""]",0.38636363636363635,0.5098484848484849
12,The Matrix,8.7,"[""Cypher: You know, I know this steak doesn't exist. I know that when I put it in my mouth, the Matrix is telling my brain that it is juicy and delicious. After nine years, you know what I realize?"", '[Takes a bite of steak]  Cypher: Ignorance is bliss.']",1.0,1.0
13,The Matrix,8.7,['Mouse: To deny our own impulses is to deny the very thing that makes us human.'],0.26666666666666666,0.46666666666666673
14,The Matrix,8.7,"[""Morpheus: I'm trying to free your mind, Neo. But I can only show you the door. You're the one that has to walk through it.""]",0.2,0.9
17,The Matrix,8.7,"[""Neo: I thought it wasn't real"", 'Morpheus: Your mind makes it real', ""Neo: If you're killed in the matrix, you die here?"", 'Morpheus: The body cannot live without the mind']",0.08409090909090909,0.275
18,The Matrix,8.7,"[""Oracle: I'd ask you to sit down, but, you're not going to anyway. And don't worry about the vase."", 'Neo: What vase?', '[Neo turns to look for a vase, and as he does, he knocks over a vase of flowers, which shatters on the floor]  Oracle: That vase.', ""Neo: I'm sorry..."", ""Oracle: I said don't worry about it. I'll get one of my kids to fix it."", 'Neo: How did you know?', ""Oracle: Ohh, what's really going to bake your noodle later on is, would you still have broken it if I hadn't said anything?""]",-0.17111111111111113,0.37777777777777777
21,The Matrix,8.7,"[""Morpheus: _The Matrix_ (qv) is a system, Neo. That system is our enemy. But when you're inside, you look around, what do you see? Businessmen, teachers, lawyers, carpenters. The very minds of the people we are trying to save. But until we do, these people are still a part of that system and that makes them our enemy. You have to understand, most of these people are not ready to be unplugged. And many of them are so inured, so hopelessly dependent on the system, that they will fight to protect it."", ""[Neo's eyes suddenly wander towards a woman in a red dress]  Morpheus: Were you listening to me, Neo? Or were you looking at the woman in the red dress?"", 'Neo: I was...', 'Morpheus: [gestures with one hand] Look again.', ""[the woman in the red dress is now Agent Smith, pointing a gun at Neo's head; Neo ducks]  Morpheus: Freeze it."", ""[Everybody and everything besides Neo and Morpheus freezes in time]  Neo: This... this isn't the Matrix?"", 'Morpheus: No. It is another training program designed to teach you one thing: if you are not one of us, you are one of them.']",0.038888888888888896,0.36666666666666664
23,The Matrix,8.7,"['Morpheus: Unfortunately, no one can be told what the Matrix is. You have to see it for yourself.']",0.25,1.0
24,The Matrix,8.7,"['Agent Smith: You hear that Mr. Anderson?... That is the sound of inevitability... It is the sound of your death... Goodbye, Mr. Anderson...', 'Neo: My name... is Neo.']",0.4,0.4
25,The Matrix,8.7,"['Oracle: Do you know what that means?', ""[points to a banner]  Oracle: It's Latin. It means know thy self. I wanna tell you a little secret, being the one is just like being in love. No one needs to tell you you are in love, you just know it, through and through.""]",0.103125,0.6
26,The Matrix,8.7,"[""Trinity: I know why you're here, Neo. I know what you've been doing... why you hardly sleep, why you live alone, and why night after night, you sit by your computer. You're looking for him. I know because I was once looking for the same thing. And when he found me, he told me I wasn't really looking for him. I was looking for an answer. It's the question that drives us, Neo. It's the question that brought you here. You know the question, just as I did."", 'Neo: What is the Matrix?', ""Trinity: The answer is out there, Neo, and it's looking for you, and it will find you if you want it to.""]",0.01117424242424242,0.3416666666666666
27,The Matrix,8.7,"['Morpheus: How did I beat you?', ""Neo: You... you're too fast."", ""Morpheus: Do you believe that my being stronger or faster has anything to do with my muscles in this place? Do you think that's air you're breathing now?""]",0.2,0.6
28,The Matrix,8.7,"[""Agent Smith: We're willing to wipe the slate clean, give you a fresh start. All that we're asking in return is your cooperation in bringing a known terrorist to justice."", 'Neo: Yeah. Well, that sounds like a pretty good deal. But I think I may have a better one. How about, I give you the finger', '[He does]  Neo: and you give me my phone call.']",0.39444444444444443,0.6750000000000002
29,The Matrix,8.7,"[""Trinity: My name's Trinity."", 'Neo: *The* Trinity? Who cracked the IRS d-base?', 'Trinity: That was a long time ago.', 'Neo: Jesus...', 'Trinity: What?', 'Neo: I just thought... you were a guy.', 'Trinity: Most guys do.']",0.225,0.45
30,The Matrix,8.7,"[""Trinity: Neo, I'm not afraid anymore. The Oracle told me that I would fall in love and that that man... the man that I loved would be The One. So you see, you can't be dead. You can't be... because I love you. You hear me? I love you."", ""[Trinity kisses Neo; Neo's vital signs return]  Trinity: Now get up!""]",0.3464285714285714,0.6142857142857142
31,The Matrix,8.7,"[""Trinity: [Pointing a gun point-blank at an agent's head] Dodge this."", '[Shoots him]']",-0.75,1.0
32,The Matrix,8.7,"['Agent Smith: It seems that you\'ve been living two lives. One life, you\'re Thomas A. Anderson, program writer for a respectable software company. You have a social security number, pay your taxes, and you... help your landlady carry out her garbage. The other life is lived in computers, where you go by the hacker alias ""Neo"" and are guilty of virtually every computer crime we have a law for. One of these lives has a future, and one of them does not.']",-0.018333333333333333,0.4133333333333333
33,The Matrix,8.7,"['Neo: Yeah. That sounds like a really good deal. But I got a better one. How about... I give you the finger... and you give me my phone call?', 'Agent Smith: Mr. Anderson... you disappoint me.', ""Neo: You can't scare me with this Gestapo crap. I know my rights. I want my phone call."", ""Agent Smith: Tell me, Mr. Anderson... what good is a phone call... if you're unable to speak?""]",0.11999999999999997,0.6
